"PointID","x","y","Pressure","Velocity_x","Velocity_y","Sound speed","Enthalpy","Turb_Kin_Energy","Omega","Species_0"
95, 9.034482758603463e-02, 0.000000000000000e+00, 1.317428135185487e+01, 5.179876254445132e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.327107095437381e+05, 6.146159465298645e+00, 1.151233716566470e+04, 9.464278840615676e-01
96, 9.198275862051357e-02, 0.000000000000000e+00, 1.478951525577004e+01, 5.100206920967000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.291646412457445e+05, 1.013939067090986e+01, 1.223836538639723e+04, 9.207426953612052e-01
97, 9.362068965499125e-02, 0.000000000000000e+00, 1.505859525203604e+01, 5.010516232291523e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.251659420533753e+05, 1.458019618887304e+01, 1.261177755825753e+04, 8.934485301770241e-01
98, 9.525862068946775e-02, 0.000000000000000e+00, 1.438051198644343e+01, 4.916078418967456e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.208893527851588e+05, 1.894149540870801e+01, 1.270133917003061e+04, 8.669935222602980e-01
99, 9.689655172394428e-02, 0.000000000000000e+00, 1.326643954882245e+01, 4.821038508178521e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.164574701912758e+05, 2.290454924463473e+01, 1.260128095320252e+04, 8.425504847101905e-01
100, 9.853448275842079e-02, 0.000000000000000e+00, 1.207182656840617e+01, 4.728020500408340e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.119682319622517e+05, 2.634971815037522e+01, 1.238936026531689e+04, 8.203253678674144e-01
101, 1.001724137928973e-01, 0.000000000000000e+00, 1.096242880353292e+01, 4.638370629841736e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.074962538182696e+05, 2.927393946832860e+01, 1.211741848809152e+04, 8.000826098352071e-01
102, 1.018103448273738e-01, 0.000000000000000e+00, 9.984739421924925e+00, 4.552598808734283e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.030901291887081e+05, 3.172284941102005e+01, 1.181635715837627e+04, 7.814857345953308e-01
103, 1.034482758618503e-01, 0.000000000000000e+00, 9.133796570828878e+00, 4.470759955798686e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.987762357555428e+05, 3.375491105320587e+01, 1.150366185531775e+04, 7.642352032725508e-01
104, 1.050862068963281e-01, 0.000000000000000e+00, 8.390114451474007e+00, 4.392700151826740e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.945659534087195e+05, 3.542688181362148e+01, 1.118908748841980e+04, 7.480979951246324e-01
105, 1.067241379308072e-01, 0.000000000000000e+00, 7.734066695134709e+00, 4.318188743483581e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.904621001483790e+05, 3.678929199609039e+01, 1.087809692656093e+04, 7.328993214964173e-01
106, 1.083620689652876e-01, 0.000000000000000e+00, 7.149681547654059e+00, 4.246979992629580e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.864631947307604e+05, 3.788576508591684e+01, 1.057376021104855e+04, 7.185075408174576e-01
107, 1.099999999997681e-01, 0.000000000000000e+00, 6.624729527123551e+00, 4.178838329308275e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.825658583050274e+05, 3.875358026648286e+01, 1.027777983531325e+04, 7.048215631346194e-01
108, 1.116379310342486e-01, 0.000000000000000e+00, 6.149924007398321e+00, 4.113546944932253e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.787660409825081e+05, 3.942452894743451e+01, 9.991052642902941e+03, 6.917619563253421e-01
109, 1.132758620687288e-01, 0.000000000000000e+00, 5.718123901805830e+00, 4.050909443173032e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.750596061057196e+05, 3.992575498045464e+01, 9.713987959821563e+03, 6.792649320673019e-01
110, 1.149137931032073e-01, 0.000000000000000e+00, 5.323724596320194e+00, 3.990748866477657e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.714425886225799e+05, 4.028049244415178e+01, 9.446694447491023e+03, 6.672782652417033e-01
111, 1.165517241376841e-01, 0.000000000000000e+00, 4.962222404744305e+00, 3.932905884660558e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.679112942424396e+05, 4.050868898003208e+01, 9.189093643025577e+03, 6.557584666444130e-01
